2019-01-26 19:58:46,732 - INFO  - copy_image:复制图片成功
2019-01-26 20:09:35,414 - INFO  - /home/yanjun/1-homework-yanjun/9-homework-yanjun/old_image/mao.jpeg:mao.jpeg
2019-01-26 20:09:35,414 - INFO  - /home/yanjun/1-homework-yanjun/9-homework-yanjun/new_image/mao.jpeg:mao.jpeg
2019-01-26 20:09:35,414 - INFO  - /home/yanjun/1-homework-yanjun/9-homework-yanjun/my.log:my.log
2019-01-26 20:09:35,414 - INFO  - /home/yanjun/1-homework-yanjun/9-homework-yanjun/calculate_salary.py:calculate_salary.py
2019-01-26 20:09:35,414 - INFO  - /home/yanjun/1-homework-yanjun/9-homework-yanjun/excel_operate.py:excel_operate.py
2019-01-26 20:09:35,414 - INFO  - /home/yanjun/1-homework-yanjun/9-homework-yanjun/file_operate.py:file_operate.py
2019-01-26 20:09:35,414 - INFO  - /home/yanjun/1-homework-yanjun/9-homework-yanjun/w.xls:w.xls
2019-01-26 20:12:48,162 - INFO  - 获取制定单元格的内容:number:89.9
2019-01-26 20:13:13,206 - INFO  - 获取制定单元格的内容:89.9
2019-01-26 20:38:52,573 - INFO  - 4
2019-01-26 20:38:52,573 - INFO  - 4->5
2019-01-26 20:38:52,573 - INFO  - 4->5->1
2019-01-26 20:38:52,573 - INFO  - 4->5->1->9
2019-01-26 20:38:52,573 - INFO  - 4->5->1->9->13
2019-01-26 20:38:52,573 - INFO  - 4
2019-01-26 20:38:52,573 - INFO  - 4->1
2019-01-26 20:38:52,573 - INFO  - 4->1->9
2019-01-26 20:38:52,573 - INFO  - 4->1->9->13
2019-01-26 20:39:34,470 - INFO  - 4->5->1->9->13
2019-01-26 20:39:34,470 - INFO  - 4->1->9->13
2019-01-27 14:00:18,792 - INFO  - 4
2019-01-27 14:00:18,793 - INFO  - ['程序员', '扫地']
2019-01-27 14:00:18,793 - INFO  - [8000, 4000]
2019-01-27 14:00:18,795 - INFO  - 4
2019-01-27 14:00:18,795 - INFO  - ['程序员']
2019-01-27 14:00:18,795 - INFO  - [8000]
2019-01-27 14:00:18,796 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:03:01,632 - INFO  - 4
2019-01-27 14:03:01,632 - INFO  - ['程序员', '扫地']
2019-01-27 14:03:01,632 - INFO  - [8000, 4000]
2019-01-27 14:03:01,632 - INFO  - [[1, '2019-1', '小A', '住在回龙观', '程序员', 8000, '工资结算4周', 8000], [1, '2019-1', '小A', '住在回龙观', '扫地', 4000, '工资结算4周', 12000]]
2019-01-27 14:03:01,633 - INFO  - 4
2019-01-27 14:03:01,633 - INFO  - ['程序员']
2019-01-27 14:03:01,633 - INFO  - [8000]
2019-01-27 14:03:01,633 - INFO  - [[1, '2019-1', '小B', '居住在天通苑', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:03:01,634 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:06:16,162 - INFO  - 4
2019-01-27 14:06:16,163 - INFO  - ['程序员', '扫地']
2019-01-27 14:06:16,163 - INFO  - [8000, 4000]
2019-01-27 14:06:16,163 - INFO  - [[1, '2019-1', '小A', '住在回龙观', '程序员', 8000, '工资结算4周', 8000], [1, '2019-1', '小A', '住在回龙观', '扫地', 4000, '工资结算4周', 12000]]
2019-01-27 14:06:16,164 - INFO  - 4
2019-01-27 14:06:16,164 - INFO  - ['程序员']
2019-01-27 14:06:16,164 - INFO  - [8000]
2019-01-27 14:06:16,164 - INFO  - [[1, '2019-1', '小B', '居住在天通苑', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:06:16,165 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:06:16,166 - INFO  - 4
2019-01-27 14:06:16,166 - INFO  - ['程序员']
2019-01-27 14:06:16,166 - INFO  - [8000]
2019-01-27 14:06:16,166 - INFO  - [[1, '2019-1', '小c', '居住在西二旗', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:06:16,167 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:06:16,167 - INFO  - 4
2019-01-27 14:06:16,167 - INFO  - ['程序员']
2019-01-27 14:06:16,167 - INFO  - [8000]
2019-01-27 14:06:16,167 - INFO  - [[1, '2019-1', '小D', '居住在望京南', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:06:16,169 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:20:53,686 - INFO  - 4
2019-01-27 14:20:53,686 - INFO  - ['程序员', '扫地']
2019-01-27 14:20:53,686 - INFO  - [8000, 4000]
2019-01-27 14:20:53,686 - INFO  - [[1, '2019-1', '小A', '住在回龙观', '程序员', 8000, '工资结算4周', 8000], [1, '2019-1', '小A', '住在回龙观', '扫地', 4000, '工资结算4周', 12000]]
2019-01-27 14:20:53,687 - INFO  - 4
2019-01-27 14:20:53,687 - INFO  - ['程序员']
2019-01-27 14:20:53,688 - INFO  - [8000]
2019-01-27 14:20:53,688 - INFO  - [[1, '2019-1', '小B', '居住在天通苑', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:20:53,689 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:20:53,689 - INFO  - 4
2019-01-27 14:20:53,689 - INFO  - ['程序员']
2019-01-27 14:20:53,689 - INFO  - [8000]
2019-01-27 14:20:53,689 - INFO  - [[1, '2019-1', '小c', '居住在西二旗', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:20:53,691 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:20:53,691 - INFO  - 4
2019-01-27 14:20:53,691 - INFO  - ['程序员']
2019-01-27 14:20:53,691 - INFO  - [8000]
2019-01-27 14:20:53,691 - INFO  - [[1, '2019-1', '小D', '居住在望京南', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:20:53,692 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:21:22,357 - INFO  - 4
2019-01-27 14:21:22,357 - INFO  - ['程序员', '扫地']
2019-01-27 14:21:22,357 - INFO  - [8000, 4000]
2019-01-27 14:21:22,357 - INFO  - [[1, '2019-1', '小A', '住在回龙观', '程序员', 8000, '工资结算4周', 8000], [1, '2019-1', '小A', '住在回龙观', '扫地', 4000, '工资结算4周', 12000]]
2019-01-27 14:21:35,774 - INFO  - 4
2019-01-27 14:21:35,775 - INFO  - ['程序员', '扫地']
2019-01-27 14:21:35,775 - INFO  - [8000, 4000]
